player_1_name,player_2_name,plus_minus
Annie Hall,The Wizard Of Oz,6
Fight Club,Jackie Brown,14
Goodfellas,There's Something About Mary,76
The Apartment,Glengarry Glen Ross,30
Dazed and Confused,The Player,44
Taxi Driver,Casablanca,-6
Vertigo,Annie Hall,32
The Godfather,Young Frankenstein / Blazing Saddles,58
The Matrix,The Blair Witch Project,68
Unforgiven,Trainspotting,22
Pulp Fiction,Toy Story,32
Before Sunrise,Eyes Wide Shut,30
Pulp Fiction,Fargo,-8
Se7en,Starship Troopers,52
Fargo,Before Sunrise,44
Apocalypse Now,The Empire Strikes Back,-6
The Shawshank Redemption,The Usual Suspects,24
Pulp Fiction,Cool Hand Luke,66
L. A. Confidential,Glengarry Glen Ross,28
Citizen Kane,Jaws,8
2001: A Space Odyssey,The Empire Strikes Back,14
Boogie Nights,Naked,80
The Silence of the Lambs,Close-Up,72
Star Wars,The Breakfast Club,68
Fight Club,Safe,66
Goodfellas,Out of Sight,66
Alien,The Tree of Life,36
Reservoir Dogs,Boyz N the Hood,54
The Empire Strikes Back,Vertigo,10
Raging Bull,Back to the Future,-16
Pulp Fiction,Saving Private Ryan,64
Rushmore,The Sweet Hereafter,68
Back to the Future,Groundhog Day,16
Reservoir Dogs,The Master,22
Unforgiven,Metropolitan,72
Being John Malkovich,Office Space,18
Pulp Fiction,Fight Club,44
Barton Fink,Leon: The Professional,22
Jackie Brown,Princess Mononoke,14
Goodfellas,The Matrix,22
Pulp Fiction,The Silence of the Lambs,32
Before Sunrise,The Insider,44
All The President's Men,Pather Panchali,44
Apocalypse Now,The Evil Dead,68
Pulp Fiction,Wild at Heart,74
Goodfellas,Jurassic Park,32
Boogie Nights,Malcolm X,48
Eyes Wide Shut,The Piano,34
Miller's Crossing,Jurassic Park,-36
Boogie Nights,The Big Lebowski,-12
Before Sunrise,Before Sunset,14
The Big Lebowski,Groundhog Day,4
2001: A Space Odyssey,To Kill A Mockingbird,60
Rushmore,The Shawshank Redemption,6
Do The Right Thing,Dog Day Afternoon,40
Goodfellas,Reservoir Dogs,32
Groundhog Day,Edward Scissorhands,52
One Flew Over the Cuckoo's Nest,Close Encounters of the Third Kind,20
Chungking Express,Jackie Brown,-20
Chinatown,Raiders of the Lost Ark,-10
The Silence of the Lambs,Terminator 2: Judgment Day,34
Malcolm X,Blue,18
Fargo,L. A. Confidential,60
Vertigo,Say Anything...,68
Blue Velvet,The Red Shoes,28
The Shining,Eternal Sunshine of the Spotless Mind,-2
The Shining,Dead Poets Society,62
Mulholland Dr.,The Royal Tenebaums,4
The Godfather,2001: A Space Odyssey,12
Casablanca,Edward Scissorhands,64
The Silence of the Lambs,Dazed and Confused,32
Singin' in the Rain,Au Hasard Balthazar,76
The Godfather: Part II,Pulp Fiction,-6
Taxi Driver,Midnight Run,74
Heat,JFK,44
Magnolia,Being John Malkovich,-8
Casablanca,Blue Velvet,44
Pulp Fiction,Rio Bravo,66
The Matrix,Hoop Dreams,36
The Empire Strikes Back,A Nightmare on Elm Street,80
Unforgiven,The Matrix,-14
The Godfather: Part II,Star Wars,6
The Godfather,Alien,30
Rushmore,Se7en,4
Fight Club,Barton Fink,14
Grave of the Fireflies,Rio Bravo,-4
Chinatown,Batman,62
Citizen Kane,2001: A Space Odyssey,-6
Jaws,Die Hard,24
Goodfellas,Being John Malkovich,40
Apocalypse Now,All The President's Men,42
Heat,Dazed and Confused,-6
Citizen Kane,Born on the Fourth of July,86
Toy Story,Schindler's List,20
The Big Lebowski,Unforgiven,40
Vertigo,Eternal Sunshine of the Spotless Mind,6
The Godfather,Casablanca,18
The Godfather,Before Sunrise,52
The Empire Strikes Back,Singin' in the Rain,12
Hoop Dreams,The Thin Red Line,12
Trainspotting,Clueless,16
